ID,RL_Reward
10000,-19773.18337618126
20000,-19614.315492524383
30000,-19597.984231035152
40000,-19794.270933898842
50000,-20728.73628546527
60000,-19985.516689341694
70000,-19603.577210834017
80000,-19399.196832895334
90000,-19791.402712081264
100000,-19187.733057552825
