ID,RL_Reward
10000,-21013.97588024993
20000,-20923.133023885846
30000,-19445.590629727583
40000,-20060.044435619955
50000,-20146.602812603134
60000,-19779.8327255261
70000,-19721.881840103473
80000,-19643.96151907497
90000,-19886.748008090508
100000,-19797.77070039701
